date,location,temperature,humidity,rainfall,wind_speed
2025-07-01,Delhi,34,72,12,14
2025-07-02,Delhi,33,78,25,16
2025-07-03,Delhi,32,81,42,18
2025-07-04,Delhi,31,85,55,20
2025-07-05,Delhi,30,88,72,21
2025-07-06,Delhi,29,90,85,19
2025-07-07,Delhi,31,82,35,17
2025-07-08,Delhi,33,76,18,15
2025-07-09,Delhi,35,70,8,13
2025-07-10,Delhi,36,68,5,12
2025-07-11,Delhi,34,75,22,16
2025-07-12,Delhi,32,84,48,18
2025-07-13,Delhi,30,89,78,22
2025-07-14,Delhi,29,91,92,23
2025-07-15,Delhi,31,86,61,20
2025-07-01,Mumbai,29,78,35,12
2025-07-02,Mumbai,28,82,48,14
2025-07-03,Mumbai,27,85,62,15
2025-07-04,Mumbai,27,88,75,16
2025-07-05,Mumbai,26,90,91,18
2025-07-06,Mumbai,27,87,55,17
2025-07-07,Mumbai,28,84,42,15
2025-07-08,Mumbai,29,80,28,13
2025-07-09,Mumbai,30,78,20,12
2025-07-10,Mumbai,29,81,45,14
2025-07-11,Mumbai,28,85,68,16
2025-07-12,Mumbai,27,89,82,18
2025-07-13,Mumbai,26,91,95,19
2025-07-14,Mumbai,27,88,72,17
2025-07-15,Mumbai,28,84,51,15
2025-07-01,Chennai,33,70,8,16
2025-07-02,Chennai,34,72,12,17
2025-07-03,Chennai,35,68,5,18
2025-07-04,Chennai,34,75,18,16
2025-07-05,Chennai,33,78,25,15
2025-07-06,Chennai,32,81,32,14
2025-07-07,Chennai,33,79,20,15
2025-07-08,Chennai,34,74,10,17
2025-07-09,Chennai,35,71,6,18
2025-07-10,Chennai,34,76,15,16
2025-07-11,Chennai,33,80,28,14
2025-07-12,Chennai,32,83,38,13
2025-07-13,Chennai,33,81,22,15
2025-07-14,Chennai,34,77,14,17
2025-07-15,Chennai,35,73,9,18
2025-07-01,Kolkata,31,82,22,12
2025-07-02,Kolkata,30,85,35,14
2025-07-03,Kolkata,29,88,48,15
2025-07-04,Kolkata,30,90,62,16
2025-07-05,Kolkata,29,92,78,17
2025-07-06,Kolkata,28,94,95,18
2025-07-07,Kolkata,30,89,52,15
2025-07-08,Kolkata,31,85,32,13
2025-07-09,Kolkata,32,82,18,12
2025-07-10,Kolkata,31,86,45,14
2025-07-11,Kolkata,30,90,67,16
2025-07-12,Kolkata,29,93,85,18
2025-07-13,Kolkata,28,95,102,19
2025-07-14,Kolkata,29,91,72,17
2025-07-15,Kolkata,30,87,55,15
2025-07-01,Bengaluru,27,68,12,10
2025-07-02,Bengaluru,26,72,20,11
2025-07-03,Bengaluru,25,75,35,13
2025-07-04,Bengaluru,26,78,42,14
2025-07-05,Bengaluru,25,80,55,15
2025-07-06,Bengaluru,24,82,68,16
2025-07-07,Bengaluru,25,79,32,13
2025-07-08,Bengaluru,26,74,18,11
2025-07-09,Bengaluru,27,70,10,10
2025-07-10,Bengaluru,26,76,25,12
2025-07-11,Bengaluru,25,81,48,14
2025-07-12,Bengaluru,24,84,62,15
2025-07-13,Bengaluru,25,82,45,13
2025-07-14,Bengaluru,26,78,30,12
2025-07-15,Bengaluru,27,73,16,11
